"Set","Frequency Or Confidence"
"[Instant food products]","0.008032536858159633"
"[UHT-milk]","0.033451957295373670"
"[baking powder]","0.017691916624300967"
"[beef]","0.052465683782409760"
"[berries]","0.033248601931875954"
"[beverages]","0.026029486527707167"
"[bottled beer]","0.080528723945094060"
"[bottled water]","0.110523640061006610"
"[brown bread]","0.064870360955770210"
"[butter milk]","0.027961362480935434"
"[butter]","0.055414336553126590"
"[cake bar]","0.013218098627351297"
"[candles]","0.008947635993899338"
"[candy]","0.029893238434163700"
"[canned beer]","0.077681748856126080"
"[canned fish]","0.015048296898830707"
"[canned vegetables]","0.010777834265378749"
"[cat food]","0.023284189120488054"
"[cereals]","0.005693950177935944"
"[chewing gum]","0.021047280122013217"
"[chicken]","0.042907981698017290"
"[chocolate marshmallow]","0.009049313675648195"
"[chocolate]","0.049618708693441790"
"[citrus fruit]","0.082765632943568880"
"[cleaner]","0.005083884087442806"
"[cling film/bags]","0.011387900355871887"
"[coffee]","0.058057956278596850"
"[condensed milk]","0.010269445856634469"
"[cream cheese ]","0.039654295882053890"
"[curd cheese]","0.005083884087442806"
"[curd]","0.053279105236400610"
"[dental care]","0.005795627859684799"
"[dessert]","0.037112353838332490"
"[detergent]","0.019217081850533807"
"[dish cleaner]","0.010472801220132180"
"[dishes]","0.017590238942552110"
"[dog food]","0.008540925266903915"
"[domestic eggs]","0.063446873411286230"
"[female sanitary products]","0.006100660904931368"
"[finished products]","0.006507371631926792"
"[flour]","0.017386883579054397"
"[flower (seeds)]","0.010371123538383325"
"[frankfurter]","0.058973055414336555"
"[frozen dessert]","0.010777834265378749"
"[frozen fish]","0.011692933401118455"
"[frozen meals]","0.028368073207930860"
"[frozen potato products]","0.008439247585155059"
"[frozen vegetables]","0.048093543467208950"
"[fruit/vegetable juice]","0.072292831723436700"
"[grapes]","0.022369089984748347"
"[ham]","0.026029486527707167"
"[hamburger meat]","0.033248601931875954"
"[hard cheese]","0.024504321301474327"
"[herbs]","0.016268429079816980"
"[house keeping products]","0.008337569903406202"
"[hygiene articles]","0.032943568886629390"
"[ice cream]","0.025012709710218607"
"[instant coffee]","0.007422470767666497"
"[jam]","0.005388917132689374"
"[kitchen towels]","0.005998983223182512"
"[liquor (appetizer)]","0.007930859176410779"
"[liquor]","0.011082867310625319"
"[liver loaf]","0.005083884087442806"
"[long life bakery product]","0.037417386883579054"
"[margarine]","0.058566344687341130"
"[mayonnaise]","0.009150991357397052"
"[meat]","0.025826131164209457"
"[misc. beverages]","0.028368073207930860"
"[mustard]","0.011997966446365024"
"[napkins]","0.052364006100660910"
"[newspapers]","0.079816980172852060"
"[oil]","0.028063040162684290"
"[onions]","0.031011692933401117"
"[other vegetables]","0.193492628368073200"
"[packaged fruit/vegetables]","0.013014743263853584"
"[pasta]","0.015048296898830707"
"[pastry]","0.088967971530249120"
"[pet care]","0.009456024402643620"
"[photo/film]","0.009252669039145907"
"[pickled vegetables]","0.017895271987798677"
"[pip fruit]","0.075648195221148960"
"[popcorn]","0.007219115404168785"
"[pork]","0.057651245551601420"
"[pot plants]","0.017285205897305540"
"[processed cheese]","0.016573462125063547"
"[red/blush wine]","0.019217081850533807"
"[rice]","0.007625826131164209"
"[roll products ]","0.010269445856634469"
"[rolls/buns]","0.183934926283680740"
"[root vegetables]","0.108998474834773760"
"[salt]","0.010777834265378749"
"[salty snack]","0.037824097610574480"
"[sauces]","0.005490594814438231"
"[sausage]","0.093950177935943050"
"[seasonal products]","0.014234875444839857"
"[semi-finished bread]","0.017691916624300967"
"[shopping bags]","0.098525673614641580"
"[sliced cheese]","0.024504321301474327"
"[soda]","0.174377224199288250"
"[soft cheese]","0.017081850533807830"
"[softener]","0.005490594814438231"
"[soups]","0.006812404677173360"
"[sparkling wine]","0.005592272496187087"
"[specialty bar]","0.027351296390442297"
"[specialty cheese]","0.008540925266903915"
"[specialty chocolate]","0.030401626842907980"
"[spices]","0.005185561769191663"
"[spread cheese]","0.011184544992374174"
"[sugar]","0.033858668022369090"
"[sweet spreads]","0.009049313675648195"
"[tropical fruit]","0.104931367564819520"
"[turkey]","0.008134214539908490"
"[vinegar]","0.006507371631926792"
"[waffles]","0.038434163701067614"
"[whipped/sour cream]","0.071682765632943570"
"[white bread]","0.042094560244026434"
"[white wine]","0.019013726487036097"
"[whole milk]","0.255516014234875470"
"[yogurt]","0.139501779359430620"
"[zwieback]","0.006914082358922217"
